,신내동,문래동3가,옥수동,휘경동,답십리동,신길동,고척동,방학동,가양동,방배동,묵동,풍납동,흑석동,신당동,이촌동,개포동,노량진동,월계동,상도동,사당동,봉천동,남가좌동,신사동,응암동,신림동,잠실동,한남동,금호동4가,오류동,삼성동,하월곡동,금호동3가,천호동,문정동,방이동,도곡동,신대방동,명일동,신공덕동,정릉동,압구정동,상암동,제기동,방화동,염창동,창동,길음동,장안동,진관동,도화동,구의동,당산동4가,행당동,신월동,광장동,중계동,잠원동,청량리동,오금동,암사동,본동,여의도동,상계동,반포동,등촌동,신정동,홍제동,청담동,구로동,일원동,무악동,대치동,역삼동,응봉동,논현동,길동,자양동,가락동,송파동,연희동,화곡동,북가좌동,하왕십리동,갈현동,목동,당산동5가,상봉동,서교동,신천동,성내동,수유동,이문동,공릉동,망원동,성수동1가,둔촌동,돈암동,미아동,전농동,공덕동,개봉동,성수동2가,구산동,하계동,서초동,시흥동,신도림동,불광동,금호동1가,수색동,홍은동,우면동,종암동
신내동,1.0,0.793309634153803,0.9266306534352449,0.8855429181170915,0.7682642120703811,0.8312026726761479,0.7856202249740455,0.7444020230655092,0.8740440357708205,0.8876693780245757,0.8418219312798104,0.898749328436043,0.8546868721098138,0.9109889303481817,0.8316773118856692,0.8960431958345613,0.8125265505173923,0.8714452480604733,0.7582352019855146,0.8814526104750142,0.7939777668959789,0.8809571285141097,0.5400368680069794,0.7653496087302096,0.796497928844071,0.9098849064853737,0.8417843116834551,0.8734838828337134,0.8098679692312764,0.8527894796215726,0.8719957602117145,0.8973463670419891,0.7748186897849875,0.851264243468887,0.726264778038483,0.8210666727866228,0.8684290422187111,0.894332450382929,0.4634949220237618,0.9216322600977294,0.8705281482899363,0.863409595022038,0.5600703121988632,0.8440251885942697,0.8794506560384143,0.8822317766916025,0.9248306239570092,0.6878957140453182,0.8935979095316746,0.8636067418305391,0.7804330147926217,0.9215026207017798,0.9113724069845729,0.8218467014665997,0.8622991608680699,0.8530922039256934,0.8972407854435077,0.8992310833040276,0.7783377736956199,0.895936393420671,0.8773626993426143,0.8658836120426001,0.9227166595998689,0.8819412901516032,0.8981260649937003,0.8333432494920562,0.8642407784721393,0.7907956477591371,0.8441227023836958,0.8906735266790206,0.7706333062933763,0.8821320916430907,0.6648935169196898,0.9132849599887632,0.4675208311844928,0.6147058201899992,0.8431309714227493,0.888928325910536,0.8871431235881285,0.44629291199233706,0.5052988987111402,0.7621409352790189,0.8845193881820466,0.5071147603928142,0.8929374207514696,0.6612597693810139,0.7670538721622471,-0.049713332098847755,0.9114018623140847,0.832443379289979,0.7053625705911072,0.5334645824450671,0.8685693980292675,0.8407297845338428,0.6666037578534855,0.8912839665957749,0.9061728950575474,0.9293353553186567,0.9015035558048191,0.8877437755907315,0.8409602660336227,0.822523564046819,0.7745820314794588,0.8735555705140902,0.7952824848969055,0.8645175148741105,0.7857254940779262,0.8815308583203703,0.8931211735325812,0.8455684021120898,0.7973128444934768,0.8158021044505226,0.8760935513757336
문래동3가,0.793309634153803,1.0,0.867876394135426,0.8075268839434424,0.7095373011942923,0.7928702707644515,0.7156430127004889,0.7348194361462896,0.8295281442397802,0.8775299896138716,0.8134511942715474,0.8632052884279253,0.7192917699348741,0.853430896544823,0.8762469438419355,0.8825656772630408,0.7777184720293494,0.8584514560164853,0.828794241366569,0.8219901344157389,0.8316255057050599,0.7780867403373303,0.6555547914464956,0.7859623917286197,0.8308610168964531,0.8448712509876468,0.760234906976065,0.8108959067410535,0.7983490800440799,0.8494885291981411,0.7903144985867671,0.8212257023027304,0.8247648794918472,0.8043691863212394,0.6592786957539031,0.8272166842396153,0.8144518930738311,0.8535613678898513,0.5261586339746297,0.8195581680316414,0.7695066741329933,0.7863395371249174,0.6229134621429151,0.7972235273958375,0.8897188725177402,0.846935736689513,0.8362223672574265,0.713379637590875,0.7427081763666008,0.8332695491001874,0.7705602651177406,0.8397802680002717,0.8578322412545426,0.816403347956434,0.8536370319096818,0.821764186310163,0.86096962569083,0.8032871353831563,0.7667865815489122,0.8613033393087696,0.797517949865962,0.8290447119919703,0.870310491785801,0.8737236940335296,0.8379938912764795,0.8570349207771617,0.813118146113979,0.6614954519521992,0.8579816220640821,0.8404684805976397,0.6831379776802446,0.8595832349134329,0.7410594301278353,0.8426000127050476,0.44831546751191464,0.7174621523252699,0.8337265197343711,0.8619514809160568,0.8341051072272448,0.4910795672416203,0.6179058723542891,0.7279360035160208,0.8573106581252561,0.41938127637605477,0.833582250877584,0.6612789211604392,0.7845701568589992,-0.08513998384972364,0.8451591960547421,0.8202769562377739,0.7576853291963166,0.7066429167496084,0.8310076979674192,0.8093861159598117,0.4898272796558984,0.7748473002826005,0.817307364336478,0.8160466706403803,0.872513595173758,0.8474360358360304,0.7767626787493671,0.7616081041770439,0.7595748055444417,0.7946988746676997,0.7931884751234156,0.8109340371577491,0.8407078327619888,0.8012828624770483,0.8471041310199227,0.7835272626085376,0.7157451220201935,0.6636115018136265,0.8233111668819953
옥수동,0.9266306534352449,0.867876394135426,1.0,0.9206553754515941,0.8158260969611506,0.8646600464514921,0.834124138369928,0.7980506877039782,0.8924835358055142,0.934861647861641,0.8877564913562918,0.9440384784608271,0.8675155865582034,0.945089239624508,0.9116111723024155,0.953505990394625,0.8607765734186793,0.9458969727705092,0.841354018085303,0.9171803923770758,0.8553136817479207,0.902967389650925,0.6185289809257963,0.8382149089397243,0.8676583166433082,0.9644133888469835,0.8527506227730909,0.9069634314030671,0.8136595622124504,0.9012704324786152,0.872291508738273,0.9227616325793347,0.8792734749495059,0.886636374735067,0.7099435051373609,0.8873381350415139,0.9210831245127461,0.9367295181244624,0.5632216692716326,0.9320138810722663,0.9097758622308708,0.8921038480657133,0.6127973567592825,0.9007783066850152,0.9354543173758894,0.9313086677959833,0.9350323256122017,0.761719994360467,0.8738189737871296,0.9196864338860414,0.8451136495380311,0.9438650873841729,0.9566522535842794,0.8765003927070175,0.9076455632782083,0.8967152653874726,0.9351808061030636,0.9122099061754383,0.8147848076909239,0.9169274273359427,0.8996005569225031,0.8961345624449659,0.9690398517554093,0.9484897986664486,0.9516526799952729,0.8881507603538783,0.9137606341972224,0.7792805889941614,0.9006031548325412,0.91884417955528,0.7637783737173136,0.9372788460964889,0.7075971388155848,0.9387530827892169,0.5416749850093874,0.7216451649066277,0.9067823818547733,0.9273663370830165,0.9396185691131287,0.5219027258204757,0.5991318807880599,0.8000343134407695,0.9453317474142642,0.4780667943247997,0.9214159328400644,0.7087746177155503,0.815138321546113,-0.057922693704371225,0.9447770907740473,0.8967902416512178,0.737949398719127,0.6611843173546711,0.8974198899777021,0.8760687074508924,0.6129691436638149,0.9102689341542449,0.9360132791029863,0.9312267697629671,0.926750859882886,0.9302986016034637,0.8538878297427085,0.8547237571400943,0.8163812277939102,0.9009434410365971,0.8627644146292811,0.8901042552886386,0.8522207558225499,0.9092304217451415,0.9259358539492547,0.8792491680394162,0.7951918479144472,0.8209029739513124,0.9106032647434421
휘경동,0.8855429181170915,0.8075268839434424,0.9206553754515941,1.0,0.8141863806416317,0.8412903254419871,0.8295740147105698,0.8126058982438057,0.8621479174103217,0.8889537125849594,0.8475222009100037,0.9231469467810177,0.8453975874590353,0.9174785097933243,0.8719508221357088,0.914067992015349,0.8177804043518547,0.9118709661233931,0.8390852614100722,0.9056696129952364,0.8513943545035931,0.9191975099766998,0.572713008242272,0.7849629958030455,0.8465353196682881,0.9312966137879435,0.8395936111637301,0.8846642150311113,0.7890433312716459,0.8766368163090708,0.8573533287333669,0.9130828864321153,0.8490419534816619,0.8538713488891642,0.7063752401377464,0.8523383108049022,0.8655027134217954,0.8840417263481711,0.5793520644887634,0.9225092100229569,0.8840267954125566,0.8739017775157532,0.6209010827149719,0.8886274158484114,0.9218647746542067,0.8904976396794789,0.9156406913316524,0.7930753937045938,0.8805058674237352,0.8965023533908102,0.8247178184628181,0.9245754276075802,0.9295138561059461,0.879678776908392,0.8864575497510881,0.8849243533278003,0.9195717357475457,0.8986635626704242,0.7976169904262339,0.892051965361943,0.853000945261105,0.8763156434883567,0.9433423095974974,0.9018848311802391,0.9249733237105482,0.8545974940548812,0.8917293196958724,0.7688979499854338,0.8841990605322397,0.910755536096575,0.7265177766527053,0.9003031108512128,0.6944683389594296,0.9110315909825641,0.5223143054977604,0.7072578714647941,0.8640883535359943,0.8983649144743971,0.9069099849550533,0.47440490167087745,0.6004344401982431,0.8112218967858248,0.8950979809555465,0.5211627457488389,0.8866261360372957,0.7245939779910967,0.7935933101970505,0.018581715427106793,0.9272532076367344,0.8869398483703884,0.6856383724415082,0.6541413359664086,0.889871793273722,0.8629341067856141,0.576605911357315,0.8537998713002847,0.9234541002746783,0.9289147234809018,0.9045723258022786,0.8831932599658571,0.8301681902652316,0.8614593501711088,0.7983135683718336,0.8942557636572538,0.8459976384662811,0.888355375604817,0.8101962846087841,0.8857846445698235,0.9169974524644178,0.8666810149239476,0.7627235805945262,0.8179527473740754,0.9039618196809954
답십리동,0.7682642120703811,0.7095373011942923,0.8158260969611506,0.8141863806416317,1.0,0.8782928702603716,0.8150706087805405,0.7194809751199845,0.7897190110769119,0.7773373677606554,0.7756162051397286,0.8055585412490973,0.7772410126490849,0.8530890965619582,0.7593924584938802,0.863330140198775,0.7861869386191113,0.8525410356145702,0.8791953797326286,0.857473627459351,0.8753493523301291,0.8493359779710038,0.5271914345305415,0.7433432288765599,0.8100888691081033,0.8556877816167203,0.6979478503055645,0.8629608934690164,0.8048184892173569,0.7461965591847907,0.7667293447279028,0.7966663252133006,0.8136876860619539,0.790131080564971,0.7301090489179108,0.803361741331675,0.7922057113171409,0.7852110027111073,0.6476242454015275,0.8527389684269174,0.765757574679262,0.7898482531554496,0.6864605109457388,0.8830851408801236,0.8336696802410384,0.8592062381132686,0.8107743808535405,0.7943053593798164,0.7998043718682349,0.8367684082666461,0.8295031852774073,0.7932087155715936,0.8089289680740608,0.8499473309716966,0.8311036361887831,0.8074651726648195,0.8669180404330677,0.7795084520850807,0.7930679404390454,0.7708027767042117,0.8046357407707374,0.8473745917807546,0.8509663686606828,0.8155883642562736,0.8587231159403172,0.841483058027126,0.9089419219753918,0.7172809557620441,0.8665332773097607,0.7940012040620528,0.6233713849407665,0.892901203052001,0.739538686262973,0.7959659054734587,0.5514727257577327,0.806118555473736,0.7700461411485101,0.8446030324245422,0.8510385979361235,0.4594177086757524,0.6735739602509812,0.8081135756938617,0.8259211517966661,0.5574599583903781,0.8642260418970485,0.8651011465065604,0.7472382938255224,0.03403515052657721,0.8316583150865497,0.8192641010790933,0.6776990864318694,0.7813669334719643,0.8577448184322417,0.770084681793445,0.33837242955844804,0.7627530506139365,0.8412070735730225,0.8466102760222535,0.8700870978692731,0.7269124306642811,0.7603702104589666,0.8247669090793046,0.7681485909850366,0.7886218730475565,0.8302160786066924,0.8289261914940024,0.8172389812443698,0.8515361808683108,0.7838837271071962,0.8394134382515716,0.6903394139432705,0.8138429781514295,0.8584190858981335
신길동,0.8312026726761479,0.7928702707644515,0.8646600464514921,0.8412903254419871,0.8782928702603716,1.0,0.8099386789670003,0.7670229773678586,0.8303550851412846,0.8590681793347594,0.8531551636614356,0.8497990652734333,0.7762584387782893,0.8633021818813402,0.8216563037418987,0.8914607025928909,0.8602632774911029,0.8871026402866165,0.8447996704915048,0.8870543217816926,0.8877669603202826,0.8385902003263351,0.5232810164199493,0.7809295079364249,0.8074871320903064,0.890191253040535,0.7497293433649377,0.8608045479440071,0.7971425903886371,0.8064065130168319,0.8016870511964014,0.852084775162956,0.826339955872636,0.8116358047524884,0.7231378525046694,0.858648757622907,0.8386991053850417,0.8107038694676515,0.5907164628212822,0.8654046119331869,0.8052860673972704,0.8105293105160414,0.6934435291534389,0.8446610897425493,0.8770537244921699,0.8638103782592698,0.8353641640747772,0.7645687109399903,0.7750549485704777,0.8711929597011547,0.8571663654691525,0.8621971227165381,0.8846215089055869,0.8578692803644684,0.8695526609762978,0.776709013480173,0.9003580960287554,0.8409920950707921,0.8347977257235647,0.8256051112716876,0.8207684704238709,0.8771266407060826,0.8723514156451467,0.8518072995942219,0.8481963661189342,0.8527933465591203,0.8729992552904928,0.8094847603780168,0.8739078831938482,0.8749732759206413,0.6435973688334213,0.9039198224083725,0.7072029754123751,0.8778978281408257,0.5012111896764334,0.7727965919567759,0.8005146703910299,0.8812702533782018,0.8838741873911558,0.3848648048825435,0.6145779754757441,0.7505502936084759,0.8477500822026663,0.45818222011444854,0.8770803102888917,0.8409659148864332,0.7678864145303197,-0.0384504157072244,0.8913839637575935,0.8547491726115408,0.6413796225636624,0.7708261074469793,0.8803903354167822,0.8390981005357739,0.4514627885074002,0.8356578778346732,0.8304012578513328,0.8858957284018023,0.8884295659788576,0.8224141852654884,0.7918979993170927,0.822505079846046,0.7911029111811728,0.8304553303504764,0.8534081125213617,0.8262377367161611,0.8437451339718397,0.9044323201700075,0.8154520127207993,0.8171752949586961,0.7327799217809265,0.8161887586602786,0.8742582754241991
고척동,0.7856202249740455,0.7156430127004889,0.834124138369928,0.8295740147105698,0.8150706087805405,0.8099386789670003,1.0,0.7038900727463674,0.7917026915556503,0.8190703748329177,0.8354637326633229,0.8515797438970216,0.7847161619964126,0.840901799115256,0.7842459058787659,0.8716570520840449,0.7966268348157444,0.8686030023092567,0.8149967467201624,0.8352273935601175,0.8106048000289391,0.8320126320426766,0.5375366833328755,0.7949562290320593,0.8135438443725046,0.8502057618667854,0.7139724539817808,0.8012288652442867,0.7736698385998048,0.751727757853759,0.7700191543173174,0.829327408056142,0.778431741220804,0.8286082536402538,0.7345588913116176,0.7794947434729739,0.7655567517150446,0.8076963503000234,0.5557087894228038,0.8581812638346512,0.7734881408590674,0.8344821324585885,0.606059619083332,0.8478974365704942,0.848101583252628,0.8371796037604416,0.8135553547048889,0.7837629648682813,0.7707029434590286,0.8442822491323686,0.7985316425200853,0.8398236914890516,0.8480289949087862,0.8306769820350216,0.8321156064259674,0.8184894604432853,0.8525030507620037,0.8051889041540596,0.7221553570133508,0.7831700331980445,0.8227055177248318,0.7773822350222487,0.8628161983748546,0.8196674331430295,0.8419467224864291,0.8282112102110559,0.8646353797754395,0.730066551995513,0.7920565817606864,0.8363833064295305,0.6452646877432399,0.8617543357126498,0.678656556262176,0.8142490009409377,0.5081316700454077,0.653562055074206,0.7650176006429157,0.854854853646287,0.8493335536402016,0.37999584477635984,0.6092784522048513,0.7702694141442666,0.8233696996444984,0.5554979328337463,0.8431045149892152,0.7555772954794311,0.7149057173190226,0.0793720807330086,0.8577716414358304,0.848896320474987,0.5933859061382657,0.6757940040205266,0.8557796662351156,0.78747050119637,0.4651175659991888,0.8103580880172999,0.8377889295914513,0.8461179921582461,0.8392151155203581,0.7878342083557629,0.7402247683442075,0.8100238681021086,0.753643332379587,0.7787033669514835,0.8139633509287356,0.803306454114305,0.7504425180866288,0.8190996867070259,0.8087704002007808,0.801539596953304,0.7288135635909883,0.7609874203082524,0.8537192990994836
방학동,0.7444020230655092,0.7348194361462896,0.7980506877039782,0.8126058982438057,0.7194809751199845,0.7670229773678586,0.7038900727463674,1.0,0.8037805973596005,0.7528867834237412,0.7152094639200177,0.7914273436039229,0.6557066926594293,0.8070589812982143,0.7220345169577471,0.8130483582125989,0.6935208785727681,0.8069477252774389,0.7545887432922342,0.7467109698419666,0.8119840666336556,0.8096779027503748,0.5897741328944585,0.6666576818695025,0.7442708544251876,0.8164657050996912,0.7293653583020593,0.7384106165166492,0.6720723515940843,0.7548312891567367,0.7429374632391462,0.7971145880053243,0.7621306007851322,0.6951828084804993,0.6279089280634153,0.7656456009265523,0.7514934095996813,0.7603533230777526,0.624608534080942,0.8036995095143749,0.7859370019052804,0.7231762088760252,0.6480301900241612,0.8239416072761531,0.8279436762086236,0.7821284425789703,0.756537930775425,0.733842724141214,0.6962897590260093,0.7616904039725544,0.7292210797791212,0.7805078326782101,0.8040073814873174,0.799044880704869,0.7709354221281746,0.7925782446309941,0.8070836204199965,0.7360680147756324,0.7106937981718675,0.7543614937126365,0.7116963613385998,0.7693804747272959,0.8303777640551189,0.786649499433645,0.7885968739135453,0.75345594338451,0.7710561558792668,0.610411430601855,0.7947411933042419,0.7725617115861121,0.6080289394717043,0.8047306935910093,0.6893701684715516,0.7724117397341447,0.4964321546029991,0.6732298564379579,0.7425294353447689,0.7843624081640922,0.7942595214932903,0.32057590992956253,0.6688315874540578,0.7545519180992442,0.7586419006164343,0.3743811443315856,0.7669522010597926,0.7008250748439895,0.6540851848786537,-0.11179855430631395,0.8265524353980102,0.7816038851043703,0.6268088237070082,0.6245098333684984,0.7964361812661634,0.8008758154067281,0.40504116893701936,0.7353455277233708,0.7719509856577587,0.7631392375916143,0.7884425596115049,0.7647017800734839,0.7622096247781637,0.7664937203829103,0.7093374338998648,0.8254556612873518,0.7640619614587306,0.822671441657772,0.7297752439428302,0.76401690658478,0.7804023961554177,0.7525765320915183,0.6489559587845827,0.7295630299103769,0.8023290621338843
가양동,0.8740440357708205,0.8295281442397802,0.8924835358055142,0.8621479174103217,0.7897190110769119,0.8303550851412846,0.7917026915556503,0.8037805973596005,1.0,0.8623205134670802,0.800954127962532,0.8857189849419791,0.8194000528429612,0.8898515545910586,0.8160436013337177,0.8999631896569811,0.8105401419039467,0.8678848159379868,0.8364867115345576,0.8488779184253581,0.8450603757902267,0.8664654022529834,0.5900678261233505,0.84794455479312,0.8317075317614104,0.9016486636991292,0.7930678230774557,0.8667407254683589,0.7944896135179209,0.8352410010466103,0.8439923313145488,0.877674284460858,0.8165158212823952,0.8437936693567055,0.6845348933248253,0.8363844898575277,0.8671936177272799,0.8595656552531775,0.5487871889244929,0.9028839040261198,0.8398675669748207,0.8580090721832604,0.6371765588378633,0.8745549549618283,0.8796061315447062,0.9024046744365131,0.8801124491167329,0.7559528287933632,0.8112805161847051,0.8416420214345354,0.786147088691306,0.8780219697283678,0.8825007914988037,0.842133242527914,0.8584218993402402,0.8446188089489307,0.8754164721077106,0.8371822050004624,0.7718651901948285,0.852268024194318,0.8556925686383818,0.8520101740557715,0.9107446321687805,0.8769075911110902,0.8854659583934978,0.8481962038071101,0.8464360878700837,0.7482719560753468,0.8570886534302979,0.8618182062547445,0.7074153913868985,0.8963098661517199,0.7060339684889606,0.8940942199273003,0.5360844963956407,0.7387319350440815,0.7969264540000427,0.872719502644255,0.8711470096008108,0.4617825838368523,0.5840178140229132,0.7782384848594713,0.8932221607548211,0.4765341624198316,0.8739475711619134,0.7018142069308335,0.7359602611411418,-0.10149317807402757,0.9040405089947843,0.8608174719898953,0.7282109811918898,0.6208505278351103,0.8870660901025956,0.8432361686665153,0.5269120258745124,0.8531748658325701,0.8783640588496512,0.8891996494245923,0.8985295522340492,0.8510755882650081,0.7687304874935323,0.8246667777055233,0.8112318545801273,0.8711201458491199,0.8464264599017322,0.8558136818057669,0.7906813054998936,0.8558718532778792,0.8525710624619978,0.8388471460340767,0.688154191353589,0.7632265606621519,0.865520172393577
방배동,0.8876693780245757,0.8775299896138716,0.934861647861641,0.8889537125849594,0.7773373677606554,0.8590681793347594,0.8190703748329177,0.7528867834237412,0.8623205134670802,1.0,0.8687911713161783,0.9287351968208202,0.8221196520581642,0.8909283978210139,0.9184390076854965,0.9254989264053807,0.8732261499711779,0.9039495353111295,0.8091543806914676,0.9092567751571198,0.8467719209653197,0.8664792390309369,0.567754049741808,0.7920464639645146,0.8576219763086677,0.9180201964765581,0.8274663761665465,0.8729460558985309,0.8390116407639054,0.8997067461263619,0.8425812481097994,0.8969785060174624,0.8507021346842331,0.8608905416186917,0.697878673654562,0.8850157179998461,0.8622707281208126,0.9046406674841886,0.5033562116201526,0.9085235860251597,0.8698979965142187,0.8766342481860269,0.5927087195225299,0.8561474267231731,0.9263932467420968,0.8748014750686413,0.9129378369133105,0.7331353431172266,0.8237102506777164,0.91033532941953,0.8153210770688979,0.9251831990360624,0.9372656714011137,0.8734235186407016,0.9121431993794964,0.8355109444342322,0.9080772064670353,0.8746254674904957,0.7943032783916822,0.8922527206828051,0.8500907530650171,0.8577074532149285,0.9315678695410045,0.9250936617100706,0.9038043342328594,0.8808132229168893,0.8502699073028394,0.760550955377058,0.8680768069421672,0.9274712374587578,0.7755327422608225,0.9078331993148508,0.6718572035944322,0.9350802224089239,0.4483318691917741,0.6973417096227493,0.866623542244176,0.9056679664399605,0.8988262348844646,0.4823138244676979,0.5543661451830832,0.7766496626270253,0.9125172685939053,0.4722366492214092,0.8975348953617975,0.6970589392981026,0.8147841201389932,-0.09727126179018515,0.9085510725746354,0.8809616129426997,0.6934485047733737,0.6898698002710726,0.9000873132750548,0.8757653228447715,0.596407964903473,0.8992526713947854,0.8995816305431618,0.919612387561214,0.9232024851854697,0.9294414619351347,0.8207581784235768,0.8025124930796123,0.812547382836264,0.8324855649624006,0.8461727206579411,0.8556294629161911,0.8721975515622852,0.8877985780866784,0.9057298830002988,0.8495386149225486,0.7949993622459088,0.7726427884913826,0.902089787211247
