,전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,수도권
17.09.11,73.431,63.768,75.319,70.493,65.815,65.705,65.65,66.073,67.745,64.093,64.641,62.631,58.284,65.411,67.558,62.257,61.537,64.256,61.13,66.277,60.562,62.045,66.802,68.752,65.605,62.143,67.035,65.095
17.09.18,73.444,63.819,75.437,70.547,65.831,65.777,65.774,66.15,67.864,64.144,64.724,62.692,58.276,65.432,67.663,62.338,61.537,64.276,61.197,66.376,60.606,62.122,66.834,68.777,65.659,62.209,67.13,65.126
17.09.25,73.463,63.891,75.604,70.666,65.898,65.872,65.89,66.183,68,64.211,64.748,62.799,58.307,65.47,67.789,62.397,61.616,64.306,61.265,66.429,60.699,62.187,66.946,68.809,65.733,62.306,67.234,65.166
17.10.09,73.48,63.958,75.604,70.813,65.921,66.026,66.058,66.213,68.04,64.304,64.768,62.809,58.349,65.482,67.825,62.44,61.623,64.306,61.327,66.582,60.819,62.226,66.963,68.905,65.832,62.436,67.342,65.198
17.10.16,73.505,64.053,75.696,70.975,66.067,66.188,66.192,66.314,68.105,64.367,64.803,62.827,58.395,65.484,67.913,62.539,61.69,64.369,61.375,66.708,60.963,62.337,67.014,68.999,65.959,62.646,67.458,65.245
17.10.23,73.528,64.15,75.696,71.023,66.2,66.362,66.441,66.418,68.134,64.423,64.914,62.843,58.416,65.488,68.083,62.664,61.754,64.427,61.427,66.714,61.092,62.373,67.081,69.046,66.166,62.874,67.598,65.295
17.10.30,73.55,64.241,75.804,71.066,66.269,66.534,66.674,66.54,68.228,64.48,64.994,62.865,58.471,65.555,68.149,62.764,61.805,64.487,61.473,66.875,61.181,62.396,67.113,69.146,66.284,63.054,67.767,65.342
17.11.06,73.579,64.348,75.859,71.222,66.303,66.779,66.874,66.558,68.303,64.598,65.063,63.035,58.496,65.746,68.263,62.94,61.992,64.54,61.486,66.884,61.257,62.437,67.192,69.218,66.403,63.242,67.971,65.394
17.11.13,73.601,64.45,75.906,71.295,66.413,66.935,67.112,66.569,68.321,64.665,65.081,63.08,58.532,65.765,68.427,63.097,62.189,64.593,61.491,67.007,61.419,62.531,67.223,69.328,66.66,63.4,68.013,65.441
17.11.20,73.621,64.55,76.039,71.392,66.487,67.068,67.294,66.589,68.354,64.731,65.154,63.119,58.563,65.792,68.506,63.27,62.451,64.648,61.497,67.203,61.612,62.556,67.285,69.458,66.837,63.546,68.098,65.482
