,beta
가락동,0.3907394051869873
가리봉동,0.11024486050017258
가산동,0.6121455702148536
가양동,0.2409336485011205
갈월동,-0.09431434136308932
갈현동,-0.6849202308909182
강일동,0.11032660328550621
개봉동,0.012743446435395444
개포동,0.28191719570314533
거여동,0.22667613006751242
견지동,0.16911972804326747
고덕동,0.19724024147167582
고척동,0.13224677787569067
공덕동,0.5793228080946412
공릉동,0.32487679206978903
공항동,0.6096258442383268
광장동,0.15517351909625582
교남동,-0.11704605223369538
교북동,-0.33183483685420606
구기동,0.10788394317557912
구로동,0.27952685741671396
구산동,0.31566541936761805
구수동,-0.017673846614516965
구의동,0.4489785825909825
군자동,-0.297346989675875
궁동,0.3008215944739472
금호동1가,-0.22189171509399921
금호동2가,0.03744095219983811
금호동3가,-0.016337391176529065
금호동4가,-0.3319414117071171
길동,0.6906675128020053
길음동,0.02045337213223018
낙원동,0.029875487075415597
남가좌동,0.06412599137233661
남대문로5가,0.08776495670892422
남산동2가,0.05373210704976738
남창동,-0.18004050263383278
남현동,-0.29973409470224577
내곡동,0.13894504754755083
내발산동,0.3064727345425859
내수동,-0.2495829276326972
냉천동,0.07844954557154261
노고산동,0.03444043384642036
노량진동,0.017409698114678816
녹번동,0.6847648321400833
논현동,0.13112741566960545
누상동,-0.023590991614680666
능동,-0.048339365622222026
답십리동,0.06315815448117829
당산동,0.2830466713329247
당산동1가,-0.23926422019797974
당산동2가,-0.016134198911886215
당산동3가,0.3089344052943954
당산동4가,0.025650681197480076
당산동5가,0.9821654370516134
당산동6가,0.02976592165783669
당주동,-0.00550933321362327
대림동,0.6321069895219577
대방동,0.6404946409728698
대조동,0.33875466180004815
대치동,0.9079248638102843
대현동,1.0493040768863706
대흥동,0.8014592381309118
도곡동,0.1317673591642291
도림동,0.24965223412228046
도봉동,0.293502192140003
도선동,0.03484005686462896
도원동,1.1043787930219968
도화동,-0.29910462595074144
독산동,0.00018147452834842297
돈암동,-0.19214513387820312
동교동,0.25841418390149623
동빙고동,0.7721071499394374
동선동1가,0.08139465928916931
동선동3가,-0.015542289652286385
동선동4가,0.07382309379282913
동선동5가,-0.017104978212345617
동소문동4가,0.49970662294951523
동소문동5가,1.008440727063424
동소문동6가,-0.3962767281490441
동소문동7가,-0.0908240934122661
동숭동,0.0606645175692884
동자동,-0.72549532256599
동작동,0.36471410504395263
둔촌동,0.03962024122955359
등촌동,0.09873864301639079
마곡동,0.04516479182380534
마장동,0.02608048463326677
마천동,0.2739656147235895
마포동,0.06375599300257513
만리동1가,0.25205639686318
만리동2가,0.40194393666633366
망우동,0.5365886632332947
망원동,0.2786672849967419
면목동,0.044449286827052376
명륜1가,-0.09546698210431336
명륜2가,-0.657210551109013
명륜3가,-0.18774731729351987
명일동,0.142091497248662
목동,0.621898021705464
무악동,0.3880076044867976
묵동,0.14643557736021529
묵정동,0.5052635725134453
문래동2가,-0.20136394808547917
문래동3가,-0.09834008273706657
문래동4가,-0.1580589378869677
문래동5가,0.5057451803666088
문래동6가,-0.06153547562447257
문배동,3.424242169499186
문정동,0.5408403434891987
미근동,0.03915386148941919
미아동,0.06345820347777613
반포동,0.3261924392026257
방배동,0.13418012749518488
방이동,0.8178177854157371
방학동,0.26803702561219805
방화동,0.17911706766138874
번동,-0.0385017597037399
보광동,-0.16452979966248557
보문동2가,-0.04917894078694728
보문동3가,-0.11811048851658823
보문동4가,0.14449754706726867
보문동6가,-0.23912434699254745
본동,0.13691965532192077
봉천동,0.31018315941759655
부암동,0.023858936909554353
북가좌동,0.018007142625568018
북아현동,0.0621257347752546
불광동,-0.05082173984635955
사근동,-0.3053050579008455
사당동,0.11693996323361748
사직동,-0.4579307047129809
산림동,0.15685996459848772
산천동,-0.5066543116935185
삼선동2가,-0.13554582153488903
삼선동3가,-0.5778467395809196
삼선동4가,0.13386112289673682
삼선동5가,-0.3620933371641442
