,0
0,5.011078
1,4.7878985
2,5.115417
3,4.649024
4,5.570021
5,4.932607
6,4.534285
7,4.5884237
8,5.5581465
9,4.8076887
10,4.154157
11,4.119606
12,5.6919518
13,5.1104107
14,5.445264
15,4.8496304
16,7.077915
17,4.933983
18,4.9803705
19,5.1163225
20,4.4527597
21,5.0999413
22,4.814183
23,4.9488916
24,5.2400875
25,6.1504974
26,6.1153936
27,7.1049967
28,4.8696337
29,4.597207
30,5.56518
31,5.8365507
32,4.9979835
33,4.1307936
34,7.3507185
35,5.1039457
36,5.591704
37,4.6800632
38,5.2394643
39,4.9316435
40,5.161688
41,5.699705
42,5.1228557
43,5.7282243
44,5.2128916
45,5.858118
46,5.9956884
47,4.93794
48,5.138249
49,3.9504938
50,5.3233075
51,5.366501
52,5.527868
53,4.811082
54,5.1178026
55,4.5498514
56,5.8566766
57,4.825982
58,4.7769628
59,4.9883127
60,5.3371725
61,4.6604867
62,4.8478928
63,4.9862623
64,6.140295
65,5.8973045
66,5.497967
67,6.2085485
68,5.14574
69,5.25364
70,5.483736
71,5.969221
72,4.7617307
73,4.289212
74,5.297657
75,4.9684114
76,4.858136
77,4.200485
78,7.0003586
79,5.6465416
80,5.684245
81,5.705245
82,5.5360823
83,5.7544556
84,5.036538
85,4.2372313
86,4.6051025
87,5.7309484
88,4.450366
89,4.862419
90,5.0294075
91,6.648752
92,5.8205576
93,4.42341
94,5.515956
95,5.3822384
96,5.1219883
97,5.666544
98,4.993812
99,5.5998917
100,5.362455
101,5.407449
102,5.666291
103,4.719189
104,5.6322284
105,4.8994265
106,4.5876813
107,5.8356266
108,4.402074
109,5.8281207
110,5.654295
111,6.0506063
112,4.5248585
