,계약날짜,무위험수익률
0,201207,0.0301
1,201208,0.0283
2,201209,0.0281
3,201210,0.0278
4,201211,0.0279999999999999
5,201212,0.0285
6,201301,0.0275
7,201302,0.027
8,201303,0.026
9,201304,0.0255
10,201305,0.0259
11,201306,0.0287
12,201307,0.0291
13,201308,0.0294
14,201309,0.0289999999999999
15,201310,0.0283
16,201311,0.0294
17,201312,0.0294
18,201401,0.0289
19,201402,0.0285
20,201403,0.0287
21,201404,0.0288
22,201405,0.0283999999999999
23,201406,0.0275
24,201407,0.0256
25,201408,0.0254
26,201409,0.0241
27,201410,0.0224
28,201411,0.0214
29,201412,0.0214
30,201501,0.0204
31,201502,0.0202
32,201503,0.0187
33,201504,0.0174
34,201505,0.0187999999999999
35,201506,0.0177
36,201507,0.0178
37,201508,0.0174
38,201509,0.0165
39,201510,0.0163
40,201511,0.0175
41,201512,0.0172
42,201601,0.0163
43,201602,0.0147
44,201603,0.015
45,201604,0.0147
46,201605,0.0146
47,201606,0.0133
48,201607,0.0121999999999999
49,201608,0.0124
50,201609,0.0131
51,201610,0.0136
52,201611,0.0161
53,201612,0.0169
54,201701,0.0163999999999999
55,201702,0.0167
56,201703,0.0171
57,201704,0.0168
58,201705,0.0169
59,201706,0.0167
60,201707,0.0174
61,201708,0.0178
62,201709,0.0179
63,201710,0.0203
64,201711,0.0215
65,201712,0.021
66,201801,0.0219
67,201802,0.0227999999999999
68,201803,0.0227
69,201804,0.0219
70,201805,0.0225
71,201806,0.0218
72,201807,0.021
73,201808,0.0202
74,201809,0.0195
75,201810,0.0200999999999999
76,201811,0.0194
77,201812,0.0183
78,201901,0.0181
79,201902,0.018
80,201903,0.0179
81,201904,0.0174
82,201905,0.0168
83,201906,0.015
84,201907,0.0138
85,201908,0.0116
86,201909,0.0129
87,201910,0.0136
88,201911,0.0149
89,201912,0.0139
90,202001,0.0137
91,202002,0.0125
92,202003,0.0109
93,202004,0.0102
94,202005,0.0088
95,202006,0.0085
96,202007,0.0083
97,202008,0.0083
98,202009,0.0091
99,202010,0.0091
100,202011,0.0097
101,202012,0.0097
102,202101,0.0098
103,202102,0.01
104,202103,0.0113
105,202104,0.0113999999999999
106,202105,0.0113
107,202106,0.013
108,202107,0.0141999999999999
109,202108,0.0141
110,202109,0.0152
111,202110,0.0184
112,202111,0.0195
113,202112,0.018
114,202201,0.0206
115,202202,0.0229
116,202203,0.0237
117,202204,0.0294
118,202205,0.0302
