,신내동,문래동3가,옥수동,휘경동,답십리동,신길동,고척동,방학동,가양동,방배동,묵동,풍납동,흑석동,신당동,이촌동,개포동,노량진동,월계동,상도동,사당동,봉천동,남가좌동,신사동,응암동,신림동,잠실동,한남동,금호동4가,오류동,삼성동,하월곡동,금호동3가,천호동,문정동,방이동,도곡동,신대방동,명일동,신공덕동,정릉동,압구정동,상암동,제기동,방화동,염창동,창동,길음동,장안동,진관동,도화동,구의동,당산동4가,행당동,신월동,광장동,중계동,잠원동,청량리동,오금동,암사동,본동,여의도동,상계동,반포동,등촌동,신정동,홍제동,청담동,구로동,일원동,무악동,대치동,역삼동,응봉동,논현동,길동,자양동,가락동,송파동,연희동,화곡동,북가좌동,하왕십리동,갈현동,목동,당산동5가,상봉동,서교동,신천동,성내동,수유동,이문동,공릉동,망원동,성수동1가,둔촌동,돈암동,미아동,전농동,공덕동,개봉동,성수동2가,구산동,하계동,서초동,시흥동,신도림동,불광동,금호동1가,수색동,홍은동,우면동,종암동
0,25134.782608695652,51982.914319258,51850.0,29900.0,30560.0,25214.285714285714,31821.428571428572,24827.272727272728,23226.666666666668,69497.05882352941,30625.0,39126.19047619047,47400.0,44554.545454545456,80292.85714285714,61547.82608695652,39416.666666666664,25163.793103448275,44008.82352941176,43664.71428571428,37148.333333333336,37966.666666666664,32101.7,30893.75,28542.304347826088,89701.78571428571,48762.5,50000.0,25450.0,83385.25,31827.222222222223,33916.666666666664,27686.666666666668,47899.0,65300.0,72106.66666666667,54011.53846153846,46374.21052631579,65000.0,27434.782608695652,117337.5,59850.0,37000.0,25708.125,36021.42857142857,25951.666666666668,41334.61538461538,33678.125,56953.4375,43520.0,50357.142857142855,31750.0,44383.333333333336,24416.666666666668,70366.66666666667,28450.51282051282,85633.33333333333,39540.0,46000.0,47300.0,43350.0,80096.15384615384,22881.1,118222.22222222222,29061.11111111111,38796.969696969696,32608.88888888889,134233.33333333334,24156.463414634145,76837.5,58433.61391471209,97376.64285714286,53285.416666666664,39875.0,43200.0,33150.0,50907.142857142855,49714.81481481482,48266.666666666664,21620.0,27339.315789473683,30550.0,34925.0,32980.0,59079.31034482759,46550.0,29340.909090909092,31666.666666666668,85151.85185185185,32138.46153846154,28592.85714285714,39847.35294117647,22629.909090909092,34033.333333333336,209739.0,56864.8,36355.0,33660.0,34666.666666666664,46833.333333333336,34540.90909090909,52683.333333333336,30133.333333333332,22892.352941176472,52763.63636363636,24479.166666666668,49891.666666666664,37175.0,36583.333333333336,32000.0,25966.666666666668,43242.666666666664,38805.555555555555
1,23105.909090909092,43833.333333333336,52457.75,28000.0,33075.0,35168.625,30436.363636363636,26108.620689655174,23989.130434782608,83263.63636363637,28719.23076923077,33975.0,62220.0,38467.5,74852.94117647059,57788.88888888889,39075.0,25275.925925925927,42126.92307692308,56878.0,35462.16216216216,33566.666666666664,33010.36842105263,33894.53846153846,22005.409836065573,88298.14814814815,43333.333333333336,43700.0,25650.0,87629.16666666667,41779.769230769234,41987.5,39581.57894736842,39120.0,61370.0,103850.0,43471.875,38927.77777777778,74381.36363636363,26856.81818181818,134019.0,63857.142857142855,39500.0,23577.272727272728,30195.384615384617,26870.882352941175,41863.333333333336,34302.380952380954,48073.94736842105,50277.77777777778,48292.857142857145,46408.333333333336,45781.25,27955.571428571428,62081.25,26564.6511627907,75789.47368421052,36400.0,44200.0,47808.86666666667,39500.0,91530.0,23052.63157894737,125261.90476190476,28190.625,49091.78947368421,31150.0,121961.53846153847,25974.358974358973,53414.28571428572,45133.333333333336,106996.15384615384,34416.59090909091,35250.0,46800.0,34010.0,53186.11111111111,50304.6875,46993.28571428572,45315.38461538462,35510.52631578947,34075.0,36750.0,21000.0,69621.09375,47166.666666666664,29188.88888888889,44666.2,69352.63157894737,38628.57142857143,22566.666666666668,38890.833333333336,24488.333333333332,30750.0,55500.0,54680.625,30879.545454545456,31530.882352941175,34600.0,76783.33333333333,32090.909090909092,62820.0,33133.333333333336,23194.0,87196.75,24573.91304347826,37380.0,38437.5,38900.0,30500.0,28411.11111111111,54193.220927445,35283.333333333336
2,27185.185185185186,49400.0,58963.75,28250.0,33245.454545454544,30869.666666666668,19986.666666666668,25425.0,22110.0,74263.63636363637,30686.666666666668,36200.0,60896.5,44391.30434782609,71666.66666666667,58298.0,42187.5,22844.6875,37303.333333333336,45918.86956521739,31670.37037037037,31125.0,26022.5,26960.0,22278.8125,85813.41463414633,48012.5,66913.25,26900.0,77193.75,34416.666666666664,32833.333333333336,34066.666666666664,49985.71428571428,77341.17647058824,108580.0,55560.0,40052.17391304348,41900.0,27121.21212121212,145927.27272727274,50518.75,37200.0,26234.090909090908,31903.125,24848.222222222223,38554.6875,30076.04761904762,46123.71428571428,39750.0,42925.0,33260.0,42612.5,26572.727272727272,50943.333333333336,23610.81081081081,68704.76190476191,36025.0,51833.333333333336,48152.63157894737,40842.25,90237.5,23440.0,95940.625,35831.666666666664,43301.4,29069.444444444445,113150.0,31081.428571428572,67080.0,76000.0,98181.81818181818,55345.454545454544,47266.666666666664,93163.625,30982.714285714286,58225.0,48287.09523809524,56625.0,69250.0,30421.21212121212,27957.14285714286,47500.0,22971.428571428572,55794.8275862069,37175.0,29550.0,19600.0,68275.86206896552,38388.09523809524,34671.42857142857,34112.5,22939.136363636364,38000.0,42960.0,47982.35294117647,33954.34782608696,30713.235294117647,34100.0,55475.0,31075.0,30000.0,27375.0,27730.0,67043.47826086957,26091.153846153848,45135.0,42773.583333333336,42475.0,31000.0,29277.777777777777,65000.0,33450.0
3,24793.88888888889,54394.444444444445,50801.818181818184,33418.75,33144.642857142855,36902.35294117647,27991.071428571428,28522.777777777777,23480.37037037037,74513.33333333333,28844.117647058825,39620.0,50150.0,41638.46153846154,88206.66666666667,56657.75862068965,38283.333333333336,24037.81818181818,47814.583333333336,37044.0,35511.95652173913,27612.5,26210.583333333332,29357.0,23936.553846153845,88970.58823529411,41020.0,43244.444444444445,27935.0,120780.0,33109.25,41033.333333333336,34291.17647058824,55785.71428571428,86221.05263157895,99412.5,48815.0,42046.2962962963,94073.77777777778,28751.224489795917,125764.70588235294,56827.27272727273,35714.28571428572,25080.0,36704.166666666664,26372.272727272728,34143.93939393939,32121.2,49001.13043478261,45233.333333333336,46687.5,37572.72727272727,45290.0,28625.862068965518,52725.529411764706,26330.405405405407,75257.4074074074,44000.0,67378.57142857143,54152.46,46996.75,76460.52631578948,22477.070063694267,111572.61904761905,31448.837209302324,42222.555555555555,31938.428571428572,101845.45454545454,26877.777777777777,80133.33333333333,32890.0,96888.57142857143,67854.0,36800.0,90000.0,28938.46153846154,46553.846153846156,49465.51724137931,54541.666666666664,30268.75,36168.42105263158,31193.75,37925.0,23200.0,62782.7868852459,59855.555555555555,29081.81818181818,39000.0,75093.85964912281,38211.0,23695.833333333332,36285.34782608696,25487.6875,35612.5,39933.333333333336,55993.42105263158,32732.608695652172,30760.25641025641,29940.0,50888.88888888889,30339.285714285714,68166.66666666667,21250.0,29360.975609756097,67037.5,26440.322580645163,44705.0,37855.64705882353,39522.22222222222,31400.0,35073.07692307692,65000.0,33866.666666666664
4,24420.75,57433.333333333336,46272.25,29378.947368421053,32342.424242424244,31813.043478260868,33081.67741935484,25100.0,27603.076923076922,80838.57142857143,28695.454545454544,41017.74193548387,70694.0,41281.57894736842,76405.88235294117,63857.34939759036,39568.181818181816,23379.86111111111,54018.84745762712,42733.333333333336,35237.63440860215,34057.142857142855,27204.73076923077,27190.53846153846,30082.678571428572,83476.07142857143,58000.0,58119.53333333333,26743.18181818182,87262.96296296296,39076.96666666667,38025.0,33474.444444444445,62381.1320754717,84163.41463414633,98698.48484848485,42050.0,45441.379310344826,50775.71428571428,28568.55072463768,130229.03225806452,53134.09090909091,31400.0,24160.25641025641,38520.0,25040.5,41597.51162790698,36946.05263157895,43650.0,44050.0,46415.51724137931,38875.0,45560.0,22925.0,59031.57894736842,27490.731707317074,78157.17948717948,32600.0,51757.142857142855,51779.59090909091,53280.71428571428,79362.0,22978.450704225354,113610.0,30835.483870967742,45352.70491803279,29794.8,78526.66666666667,26907.69230769231,63050.0,59458.75,94346.42857142857,66502.94117647059,40000.0,82581.81818181818,30645.344827586207,56260.81081081081,53471.8487394958,58837.5,41249.6875,40522.916666666664,66704.15625,38903.333333333336,31960.0,64479.13978494624,54205.555555555555,29180.555555555555,31900.0,71405.55555555556,33875.0,26975.0,36877.769230769234,28444.927536231884,29066.666666666668,40230.0,55956.45161290323,30174.468085106382,30689.830508474577,37580.0,48082.35294117647,29518.75,51518.181818181816,30050.0,27035.238095238095,76150.71014492754,24862.5,39864.583333333336,38100.3,41985.71428571428,30683.333333333332,32554.74193548387,39850.0,34044.444444444445
5,24010.869565217392,48500.0,56231.57894736842,38577.77777777778,30765.384615384617,32442.727272727272,31933.333333333332,27335.714285714286,23952.63157894737,73446.31578947368,33590.32258064516,40006.52173913043,67151.46428571429,48409.45945945946,93054.76190476191,58801.875,39481.818181818184,25586.153846153848,50531.739130434784,41979.31034482759,34879.41176470588,31241.666666666668,31358.117647058825,27185.909090909092,31199.10714285714,87433.63636363637,74000.0,51035.07142857143,24490.0,84170.46666666666,34057.142857142855,38125.0,31937.85185185185,58260.34482758621,73240.0,101120.0,43725.0,36762.06896551724,52306.416666666664,26884.615384615383,130246.15384615384,56957.142857142855,29841.666666666668,22115.0,36401.35135135135,25041.39534883721,36675.67567567567,33758.06451612903,52793.20338983051,44973.529411764706,51326.470588235294,39950.0,44350.0,25306.122448979593,56787.5,29979.674796747968,69637.68115942029,36175.0,45510.0,49682.72727272727,49020.0,69650.0,23954.14893617021,122678.125,30254.41176470588,48161.606060606064,30119.23076923077,77782.35294117648,26894.657534246577,66062.5,50930.0,86028.72340425532,72006.21212121213,32500.0,47966.666666666664,30938.260869565216,59025.92592592593,51170.20202020202,59946.153846153844,26772.083333333332,36302.857142857145,39092.857142857145,39510.0,22800.0,56615.54054054054,49361.53846153846,28978.571428571428,143508.07317073172,71270.0,40918.75,28828.571428571428,37276.086956521736,25135.178571428572,35460.0,74116.25,55410.0,33463.29787234042,33603.0,30740.0,52250.0,33182.75862068965,39625.0,30311.11111111111,28554.62962962963,64769.670886075946,25017.682926829268,38638.15789473684,41088.15789473684,40425.0,30425.0,33591.666666666664,50750.0,34902.28571428572
6,24053.333333333332,60566.666666666664,43893.75,32895.0,35261.36363636364,31570.0,29441.285714285714,25098.4375,26135.0,78417.30769230769,31172.222222222223,37026.666666666664,68672.39393939394,42073.913043478264,97932.35294117648,58771.232876712325,35625.0,24867.321428571428,53890.85106382979,49367.96428571428,29567.134831460673,33478.57142857143,43362.5,38228.11538461538,30266.666666666668,83596.28865979382,80099.8,62426.26315789474,28927.777777777777,96954.13043478261,36967.11111111111,42475.0,35182.142857142855,58202.380952380954,76005.79166666667,115503.44827586207,44875.333333333336,45456.06060606061,50044.0,29018.571428571428,118529.16666666667,49110.0,29400.0,25570.0,33142.194444444445,25860.144927536232,41002.05263157895,35022.22222222222,48006.925,46893.75,49013.333333333336,39961.11111111111,47273.913043478264,27478.333333333332,68577.48387096774,28785.92380952381,69739.13043478261,35500.0,44157.142857142855,47541.89189189189,41077.25,84866.66666666667,23584.825174825175,104317.54385964913,30133.720930232557,42888.20224719101,32653.333333333332,132610.52631578947,25366.22950819672,66154.54545454546,52996.0,102580.68181818182,66661.53125,33811.11111111111,51466.666666666664,30317.647058823528,64838.88888888889,52511.931818181816,54405.0,22080.0,30671.853658536584,32928.57142857143,42137.5,26071.428571428572,55940.833333333336,47333.333333333336,33512.5,141413.14285714287,69035.0,37038.46153846154,29781.81818181818,45461.64705882353,25433.595238095237,37561.53846153846,44666.666666666664,47392.0,33600.0,33203.125,35505.333333333336,46312.5,32327.083333333332,42175.0,25700.0,24285.714285714286,72830.12903225806,26410.31914893617,38781.818181818184,39842.333333333336,43675.0,31714.285714285714,27881.81818181818,41500.0,37419.230769230766
7,26188.46153846154,55275.0,55028.681818181816,25861.333333333332,32076.666666666668,31241.14285714286,32578.571428571428,24072.63157894737,28038.636363636364,71896.73076923077,34643.75,42763.63636363636,60536.9375,45838.46153846154,62431.25,63136.18421052631,35937.5,24085.106382978724,45998.30303030303,40403.846153846156,28108.333333333332,29664.285714285714,35789.933333333334,42991.75,31280.882352941175,88723.01587301587,47142.857142857145,54177.333333333336,28225.384615384617,105862.41379310345,33566.17647058824,42112.5,34194.117647058825,54061.36363636364,66200.0,113333.72093023256,45670.0,43212.5,52433.333333333336,27094.594594594593,128067.0731707317,57940.0,29150.0,24913.513513513513,33361.36363636364,29804.02298850575,36013.793103448275,33905.555555555555,44252.391304347824,40260.0,46429.166666666664,44409.09090909091,42962.5,22140.909090909092,54385.71428571428,30661.071428571428,65355.555555555555,35106.25,52930.0,49352.32558139535,58400.0,87290.47619047618,23271.543624161073,129449.18032786885,30303.75,45850.63291139241,31244.117647058825,98616.66666666667,27051.063829787236,39025.0,59475.0,86879.14893617021,64203.25806451613,35000.0,94720.0,22206.44927536232,47466.666666666664,49795.098039215685,56390.0,33037.5,40666.666666666664,37000.0,37612.5,19966.666666666668,53833.67346938775,60100.0,30280.0,142087.0,67802.77777777778,38687.5,31760.0,31999.58823529412,25753.409090909092,34987.5,38708.333333333336,52703.57142857143,33130.65789473684,30065.217391304348,27096.153846153848,51060.0,28269.473684210527,40675.0,26035.714285714286,23543.548387096773,81445.45454545454,25060.0,45434.375,38219.31578947369,32120.0,28340.0,26210.0,49616.5,33497.41379310345
8,26137.20930232558,59603.333333333336,61274.125,31437.5,30708.620689655174,31422.222222222223,31603.125,27042.55319148936,25576.052631578947,72639.0625,30414.285714285714,43450.0,62286.083333333336,44760.86956521739,69753.70370370371,59928.205128205125,37344.444444444445,26155.46875,52805.666666666664,35762.64705882353,31460.526315789473,31872.727272727272,38469.80952380953,43455.030303030304,29724.03846153846,84934.02061855671,79600.0,53974.8,26891.666666666668,75821.42857142857,35265.27777777778,42500.0,30747.82608695652,60431.48148148148,77642.42424242424,97387.25490196078,44920.0,40748.25396825397,41800.0,29242.85714285714,120637.93103448275,53895.0,31325.0,24800.478260869564,33934.09090909091,27516.454545454544,40055.813953488374,33720.37037037037,50527.0,41385.333333333336,46370.0,37337.5,41774.32432432433,23068.18181818182,52500.0,29167.9012345679,77202.32558139534,32944.444444444445,39300.0,47227.77777777778,46575.0,79040.38461538461,23117.637362637364,116773.84615384616,31116.176470588234,38746.77419354839,32931.818181818184,138493.75,27648.376470588235,59770.454545454544,51506.666666666664,89747.72727272728,66318.0,39250.0,74051.19047619047,29364.70588235294,59173.07692307692,54001.14942528736,61294.73684210526,44862.857142857145,37454.77272727273,39195.454545454544,38950.0,22300.0,58828.125,53536.36363636364,28470.0,145161.88888888888,74905.0,37498.68421052631,26306.666666666668,33930.95238095238,25357.758620689656,35845.454545454544,42475.0,55416.666666666664,35545.31914893617,31989.454545454544,28468.75,51575.0,27822.36842105263,56464.28571428572,23959.090909090908,30696.666666666668,76350.0,25257.777777777777,40626.086956521736,37581.0,36961.53846153846,37900.0,27562.5,60687.408602150535,31794.23076923077
9,24860.44776119403,54744.444444444445,50776.305555555555,31796.666666666668,30531.410256410258,28008.745098039217,31678.048780487807,24674.675324675325,23486.32,79991.11111111111,29975.416666666668,39970.58823529412,63068.545454545456,46347.11538461538,78775.0,65210.15625,40569.230769230766,25693.296,51963.27472527473,42645.0,33249.51612903226,33279.545454545456,51298.333333333336,37241.6935483871,28233.38028169014,86539.84962406015,71100.0,50336.25,28947.222222222223,95507.69230769231,32845.454545454544,36690.90909090909,35303.125,66066.37931034483,71277.90697674418,112614.92537313433,45253.57142857143,41941.55844155844,52484.4,26621.774193548386,135377.38095238095,55322.72727272727,34575.0,24139.0625,33936.76470588235,27501.641791044774,37314.69696969697,33654.55,46930.153846153844,43373.333333333336,47578.846153846156,38313.15789473684,44878.57142857143,23631.86440677966,60998.743589743586,28547.53086419753,77043.06930693069,32722.727272727272,42350.0,49062.97619047619,49125.0,77093.58974358975,23606.124031007752,120354.87804878049,33186.666666666664,43928.10218978102,33402.5641025641,92142.30769230769,28133.909090909092,71182.35294117648,56013.07692307692,99535.2564102564,58315.54761904762,42043.75,78644.26315789473,31462.222222222223,52546.42857142857,53571.0101010101,53206.818181818184,29831.363636363636,32715.084210526315,36846.529411764706,40600.0,24666.666666666668,57110.48387096774,57646.11111111111,32182.0,139243.25862068965,72877.64705882352,36169.04761904762,26478.571428571428,33887.5,25925.30864197531,33556.666666666664,57643.75,50748.4375,36633.72881355932,32863.85542168675,31695.454545454544,50211.76470588235,30185.9375,49847.619047619046,25247.36842105263,27363.157894736843,85191.40963855422,25032.987012987014,44290.47619047619,35594.5,36309.583333333336,29312.5,29755.882352941175,62124.444444444445,31586.25
