,시점,서울
0,201207,74.2
1,201208,73.6
2,201209,73.2
3,201210,73.1
4,201211,72.8
5,201212,72.1
6,201301,72.4
7,201302,72.7
8,201303,73.4
9,201304,73.7
10,201305,73.9
11,201306,73.5
12,201307,73.3
13,201308,73.7
14,201309,74.3
15,201310,74.7
16,201311,74.5
17,201312,74.3
18,201401,75.0
19,201402,75.7
20,201403,76.0
21,201404,76.0
22,201405,75.7
23,201406,75.6
24,201407,75.7
25,201408,76.4
26,201409,77.1
27,201410,77.5
28,201411,77.5
29,201412,77.4
30,201501,77.9
31,201502,78.6
32,201503,79.4
33,201504,80.2
34,201505,80.9
35,201506,81.4
36,201507,82.5
37,201508,83.2
38,201509,83.9
39,201510,84.4
40,201511,84.8
41,201512,84.4
42,201601,84.3
43,201602,84.5
44,201603,84.5
45,201604,84.8
46,201605,85.6
47,201606,86.6
48,201607,87.9
49,201608,89.2
50,201609,90.4
51,201610,91.6
52,201611,91.8
53,201612,91.2
54,201701,91.0
55,201702,91.0
56,201703,91.7
57,201704,92.0
58,201705,93.4
59,201706,95.3
60,201707,97.8
61,201708,98.0
62,201709,98.3
63,201710,99.4
64,201711,100.0
65,201712,100.9
66,201801,103.0
67,201802,104.8
68,201803,106.1
69,201804,107.4
70,201805,107.9
71,201806,108.6
72,201807,110.2
73,201808,115.0
74,201809,121.5
75,201810,122.4
76,201811,120.6
77,201812,119.1
78,201901,117.8
79,201902,117.1
80,201903,116.1
81,201904,116.1
82,201905,117.2
83,201906,119.6
84,201907,122.2
85,201908,123.8
86,201909,125.2
87,201910,127.1
88,201911,129.4
89,201912,131.6
90,202001,132.7
91,202002,134.5
92,202003,135.6
93,202004,134.4
94,202005,135.1
95,202006,139.9
96,202007,147.1
97,202008,151.9
98,202009,153.8
99,202010,155.1
100,202011,157.9
101,202012,161.2
102,202101,166.2
103,202102,168.6
104,202103,169.2
105,202104,170.4
106,202105,173.5
107,202106,177.4
108,202107,181.3
109,202108,184.5
110,202109,187.3
111,202110,187.8
112,202111,184.7
113,202112,182.5
114,202201,181.3
115,202202,179.6
116,202203,181.5
117,202204,183.6
118,202205,180.9
